"nid","Street","Postalcode","City","Latitude","Longitude","type","Betaling","Bemanding","Kanylebeholder","Puslebord","Vandhane","Body","Term","Billeder"
"425","Pedersker Hovedgade 38","3720","Åkirkeby","55.029615","14.992559","Unisex","Nej","Nej","Ved ikke","Nej","Ja","Placering: Pedersker By ved busstoppested.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/pederskerhovedgade38_1.jpgsites/default/files/images/475/2017/06/pederskerhovedgade38_2.jpg"
"430","Peter F. Heerings Gade 3","3740","Svaneke","55.136791","15.144753","Unisex","Nej","Nej","Ved ikke","Nej","Ja","Placering: Svaneke Havn.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/peterfheeringsgade33_0.jpg"
"481","Randkløvevej 26","3751","Østermarie","55.165434","15.037121","Unisex","Nej","Nej","Nej","Nej","Nej","Placering: Tørkloset ved P-plads til Randkløve Skår.
Åbningsperiode: fra uge 14 til 42.","Bornholm","sites/default/files/images/475/2017/07/vedrandklovevej26.jpg"
"439","Ringedalsvej 12A","3790","Hasle","55.242488","14.736544","Unisex","Nej","Nej","Nej","Nej","Nej","Placering: Tørkloset ved Ringebakkerne.","Bornholm","sites/default/files/images/475/2017/06/ringedalsvej12a.jpgsites/default/files/images/475/2017/06/ringedalsvej12ainde.jpg"
"451","Rønnevej 2A","3720","Åkirkeby","55.072563","14.913305","Unisex","Nej","Nej","Ved ikke","Ja","Ja","Placering: Busterminalen.
Åbningsperiode: hele året.
Åbningstider: Dørlås med ur. Fra 1. maj til 1. okt. kl. 7:00 - 22:00.
1. okt. til 1. maj kl. 7:00 - 19:00.","Bornholm","sites/default/files/images/475/2017/06/ronnevej2a_0.jpg"
"405","Sandlinien 28","3770","Allinge","55.289918","14.776513","Unisex","Nej","Nej","Ved ikke","Ja","Ja","Placering: Sandvig strand.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/sandlinien28.jpg"
"447","Sandstien 7, Balka","3730","Nexø","55.035330","15.108883","Unisex","Nej","Nej","Ved ikke","Ja","Ja","Placering: Balka strand.
Åbningsperiode: fra uge 14 til 42.","Bornholm","sites/default/files/images/475/2017/06/sandstien7.jpg"
"432","Skovgade 36","3740","Svaneke","55.131354","15.151809","Unisex","Nej","Nej","Ved ikke","Nej","Ja","Placering: Hullehavn, ved 'Syd-Øst for Paradis'.
Åbningsperiode: fra uge 14 til 42.","Bornholm","sites/default/files/images/475/2017/06/skovgade36hullehavn_0.jpg"
"466","Skrokkegårdsvejen 14, Dueodde","3730","Nexø","54.995435","15.086755","Unisex","Nej","Nej","Nej","Nej","Ja","Placering: for enden af P-plads ved Dueodde vandrehjem.
Åbningsperiode: fra uge 14 til 42.","Bornholm","sites/default/files/images/475/2017/07/skrokkegardsvejen14.jpg"
"442","Strandpromenaden 20B, Sandvig","3770","Allinge","55.288728","14.782668","Unisex","Nej","Nej","Ved ikke","Ved ikke","Ja","Placering: Sandvig Havn.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/strandpromenaden20bny_0.jpg"
